Position,Bar,Beat,Tick,Type,Channel,Note,Note_Name,Velocity,Duration_Ticks,Off_Position,Controller,Value
60.3.0,60,3,0,Meta_set_tempo,,,,,,,,300000
60.4.0,60,4,0,Meta_set_tempo,,,,,,,,300000
61.1.0,61,1,0,Meta_set_tempo,,,,,,,,300000
61.2.0,61,2,0,Meta_set_tempo,,,,,,,,300000
61.3.0,61,3,0,Meta_set_tempo,,,,,,,,300000
61.4.0,61,4,0,Meta_set_tempo,,,,,,,,300000
62.1.0,62,1,0,Meta_set_tempo,,,,,,,,300000
62.2.0,62,2,0,Meta_set_tempo,,,,,,,,300000
62.3.0,62,3,0,Meta_set_tempo,,,,,,,,300000
62.4.0,62,4,0,Meta_set_tempo,,,,,,,,300000
63.1.0,63,1,0,Meta_set_tempo,,,,,,,,300000
63.2.0,63,2,0,Meta_set_tempo,,,,,,,,300000
63.3.0,63,3,0,Meta_set_tempo,,,,,,,,300000
63.4.0,63,4,0,Meta_set_tempo,,,,,,,,300000
64.1.0,64,1,0,Meta_set_tempo,,,,,,,,300000
64.2.0,64,2,0,Meta_set_tempo,,,,,,,,300000
64.3.0,64,3,0,Meta_set_tempo,,,,,,,,300000
64.4.0,64,4,0,Meta_set_tempo,,,,,,,,300000
65.1.0,65,1,0,Meta_set_tempo,,,,,,,,300000
65.2.0,65,2,0,Meta_set_tempo,,,,,,,,300000
65.3.0,65,3,0,Meta_set_tempo,,,,,,,,300000
65.4.0,65,4,0,Meta_set_tempo,,,,,,,,300000
66.1.0,66,1,0,Meta_set_tempo,,,,,,,,292741
66.1.0,66,1,0,Meta_set_tempo,,,,,,,,285714
66.2.0,66,2,0,Meta_set_tempo,,,,,,,,285714
66.3.0,66,3,0,Meta_set_tempo,,,,,,,,285714
66.4.0,66,4,0,Meta_set_tempo,,,,,,,,285714
67.1.0,67,1,0,Meta_set_tempo,,,,,,,,285714
67.2.0,67,2,0,Meta_set_tempo,,,,,,,,285714
67.3.0,67,3,0,Meta_set_tempo,,,,,,,,285714
67.4.0,67,4,0,Meta_set_tempo,,,,,,,,285714
68.1.0,68,1,0,Meta_set_tempo,,,,,,,,285714
68.2.0,68,2,0,Meta_set_tempo,,,,,,,,285714
68.3.0,68,3,0,Meta_set_tempo,,,,,,,,285714
68.4.0,68,4,0,Meta_set_tempo,,,,,,,,285714
69.1.0,69,1,0,Meta_set_tempo,,,,,,,,285714
69.2.0,69,2,0,Meta_set_tempo,,,,,,,,285714
69.3.0,69,3,0,Meta_set_tempo,,,,,,,,285714
69.4.0,69,4,0,Meta_set_tempo,,,,,,,,285714
70.1.0,70,1,0,Meta_set_tempo,,,,,,,,285714
70.2.0,70,2,0,Meta_set_tempo,,,,,,,,285714
70.3.0,70,3,0,Meta_set_tempo,,,,,,,,285714
70.4.0,70,4,0,Meta_set_tempo,,,,,,,,285714
71.1.0,71,1,0,Meta_set_tempo,,,,,,,,285714
71.2.0,71,2,0,Meta_set_tempo,,,,,,,,285714
71.3.0,71,3,0,Meta_set_tempo,,,,,,,,285714
71.4.0,71,4,0,Meta_set_tempo,,,,,,,,285714
72.1.0,72,1,0,Meta_set_tempo,,,,,,,,285714
72.2.0,72,2,0,Meta_set_tempo,,,,,,,,285714
72.3.0,72,3,0,Meta_set_tempo,,,,,,,,285714
72.4.0,72,4,0,Meta_set_tempo,,,,,,,,285714
73.1.0,73,1,0,Meta_set_tempo,,,,,,,,285714
73.2.0,73,2,0,Meta_set_tempo,,,,,,,,285714
73.3.0,73,3,0,Meta_set_tempo,,,,,,,,285714
73.4.0,73,4,0,Meta_set_tempo,,,,,,,,285714
74.1.0,74,1,0,Meta_set_tempo,,,,,,,,285714
74.2.0,74,2,0,Meta_set_tempo,,,,,,,,285714
74.3.0,74,3,0,Meta_set_tempo,,,,,,,,285714
74.4.0,74,4,0,Meta_set_tempo,,,,,,,,285714
75.1.0,75,1,0,Meta_set_tempo,,,,,,,,285714
75.2.0,75,2,0,Meta_set_tempo,,,,,,,,285714
75.3.0,75,3,0,Meta_set_tempo,,,,,,,,285714
75.4.0,75,4,0,Meta_set_tempo,,,,,,,,285714
76.1.0,76,1,0,Meta_set_tempo,,,,,,,,285714
76.2.0,76,2,0,Meta_set_tempo,,,,,,,,285714
76.3.0,76,3,0,Meta_set_tempo,,,,,,,,285714
76.4.0,76,4,0,Meta_set_tempo,,,,,,,,285714
77.1.0,77,1,0,Meta_set_tempo,,,,,,,,285714
77.2.0,77,2,0,Meta_set_tempo,,,,,,,,285714
77.3.0,77,3,0,Meta_set_tempo,,,,,,,,285714
77.4.0,77,4,0,Meta_set_tempo,,,,,,,,285714
78.1.0,78,1,0,Meta_set_tempo,,,,,,,,285714
78.2.0,78,2,0,Meta_set_tempo,,,,,,,,285714
78.3.0,78,3,0,Meta_set_tempo,,,,,,,,285714
78.4.0,78,4,0,Meta_set_tempo,,,,,,,,285714
79.1.0,79,1,0,Meta_set_tempo,,,,,,,,285714
79.2.0,79,2,0,Meta_set_tempo,,,,,,,,285714
79.3.0,79,3,0,Meta_set_tempo,,,,,,,,285714
79.4.0,79,4,0,Meta_set_tempo,,,,,,,,285714
80.1.0,80,1,0,Meta_set_tempo,,,,,,,,285714
80.2.0,80,2,0,Meta_set_tempo,,,,,,,,285714
80.3.0,80,3,0,Meta_set_tempo,,,,,,,,285714
80.4.0,80,4,0,Meta_set_tempo,,,,,,,,285714
81.1.0,81,1,0,Meta_set_tempo,,,,,,,,285714
81.2.0,81,2,0,Meta_set_tempo,,,,,,,,285714
81.3.0,81,3,0,Meta_set_tempo,,,,,,,,285714
81.4.0,81,4,0,Meta_set_tempo,,,,,,,,285714
82.1.0,82,1,0,Meta_set_tempo,,,,,,,,285714
82.2.0,82,2,0,Meta_set_tempo,,,,,,,,285714
82.3.0,82,3,0,Meta_set_tempo,,,,,,,,285714
82.4.0,82,4,0,Meta_set_tempo,,,,,,,,285714
83.1.0,83,1,0,Meta_set_tempo,,,,,,,,295683
83.1.0,83,1,0,Meta_set_tempo,,,,,,,,306122
